Game,Player,Team,Position,Projected FPTS,Random STDDEV,Random Projections
LAC vs TB,Jalen McMillan,TB,WR,8.21,0.0,1.6025511883466275
LAC vs TB,Buccaneers,TB,DST,5.28,0.0,-13.60151957203901
DEN vs IND,Courtland Sutton,DEN,WR,16.52,0.0,21.588126689120394
DEN vs IND,Bo Nix,DEN,QB,18.63,0.0,29.217356682187066
DEN vs IND,Javonte Williams,DEN,RB,10.49,0.0,14.589869728911525
DEN vs IND,Jaleel McLaughlin,DEN,RB,7.69,0.0,10.917802377421072
DEN vs IND,Devaughn Vele,DEN,WR,9.06,0.0,17.989012499122946
DEN vs IND,Marvin Mims Jr.,DEN,WR,7.38,0.0,14.905343630874233
DEN vs IND,Troy Franklin,DEN,WR,5.03,0.0,11.104807909943261
DEN vs IND,Broncos,DEN,DST,7.52,0.0,9.147669164295696
DEN vs IND,Jonathan Taylor,IND,RB,16.1,0.0,22.046546569733
DEN vs IND,Anthony Richardson,IND,QB,17.54,0.0,32.25217556082614
DEN vs IND,Michael Pittman Jr.,IND,WR,10.58,0.0,26.30421177068586
DEN vs IND,Josh Downs,IND,WR,11.52,0.0,20.020323947229897
DEN vs IND,Alec Pierce,IND,WR,5.71,0.0,-1.0220120093259641
DEN vs IND,Colts,IND,DST,5.39,0.0,-8.317642768005586
JAX vs NYJ,Brian Thomas Jr.,JAX,WR,15.59,0.0,19.875176722898683
JAX vs NYJ,Travis Etienne Jr.,JAX,RB,9.66,0.0,12.400702202711676
JAX vs NYJ,Tank Bigsby,JAX,RB,10.77,0.0,13.815563013683681
JAX vs NYJ,Mac Jones,JAX,QB,14.22,0.0,23.81292931119372
JAX vs NYJ,Parker Washington,JAX,WR,7.41,0.0,14.435465814777551
JAX vs NYJ,Jaguars,JAX,DST,5.74,0.0,7.114815467892496
JAX vs NYJ,Brenton Strange,JAX,TE,7.67,0.0,13.910416293938782
JAX vs NYJ,Davante Adams,NYJ,WR,16.26,0.0,23.520916789171913
JAX vs NYJ,Garrett Wilson,NYJ,WR,15.56,0.0,20.424013517087882
JAX vs NYJ,Breece Hall,NYJ,RB,12.5,0.0,16.75927230816762
JAX vs NYJ,Aaron Rodgers,NYJ,QB,16.36,0.0,40.551630028161874
JAX vs NYJ,Braelon Allen,NYJ,RB,6.89,0.0,10.791539558408335
JAX vs NYJ,Isaiah Davis,NYJ,RB,5.61,0.0,9.111275954202554
JAX vs NYJ,Allen Lazard,NYJ,WR,5.71,0.0,17.45221920842449
JAX vs NYJ,Jets,NYJ,DST,7.56,0.0,8.834039327394402
JAX vs NYJ,Tyler Conklin,NYJ,TE,6.32,0.0,5.727956841011119
CLE vs KC,Jerry Jeudy,CLE,WR,15.28,0.0,20.494342822962167
CLE vs KC,Jameis Winston,CLE,QB,16.2,0.0,26.20533663135132
CLE vs KC,Nick Chubb,CLE,RB,8.97,0.0,12.781862044986319
CLE vs KC,David Njoku,CLE,TE,9.85,0.0,18.379775015301778
CLE vs KC,Elijah Moore,CLE,WR,11.32,0.0,19.672062002179626
CLE vs KC,Jerome Ford,CLE,RB,9.06,0.0,13.004780400357562
CLE vs KC,Michael Woods II,CLE,WR,6.05,0.0,11.677953086390723
CLE vs KC,Jordan Akins,CLE,TE,5.21,0.0,10.572259998650692
CLE vs KC,Browns,CLE,DST,5.92,0.0,5.974049738625005
CLE vs KC,Patrick Mahomes,KC,QB,18.14,0.0,35.81515684713711
CLE vs KC,Isiah Pacheco,KC,RB,14.23,0.0,21.049784395252278
CLE vs KC,Travis Kelce,KC,TE,13.58,0.0,28.39202913943744
CLE vs KC,DeAndre Hopkins,KC,WR,10.63,0.0,19.779828934377313
CLE vs KC,Xavier Worthy,KC,WR,9.07,0.0,10.134435699681617
CLE vs KC,Kareem Hunt,KC,RB,6.51,0.0,9.922199310454442
CLE vs KC,Chiefs,KC,DST,8.82,0.0,6.285441008684599
CLE vs KC,Noah Gray,KC,TE,6.55,0.0,-9.595729082535176
ARI vs NE,James Conner,ARI,RB,19.88,0.0,25.985347366891673
ARI vs NE,Kyler Murray,ARI,QB,21.12,0.0,28.44304211003598
ARI vs NE,Trey McBride,ARI,TE,18.23,0.0,30.299625296452167
ARI vs NE,Marvin Harrison Jr.,ARI,WR,13.76,0.0,23.632993111357372
ARI vs NE,Michael Wilson,ARI,WR,8.67,0.0,15.825742278213038
ARI vs NE,Cardinals,ARI,DST,7.35,0.0,7.448138438653462
ARI vs NE,Rhamondre Stevenson,NE,RB,14.28,0.0,20.065412605726422
ARI vs NE,Drake Maye,NE,QB,18.18,0.0,36.72178081542059
ARI vs NE,DeMario Douglas,NE,WR,10.24,0.0,24.479203218892554
ARI vs NE,Hunter Henry,NE,TE,12.07,0.0,22.731955617715816
ARI vs NE,Kendrick Bourne,NE,WR,7.47,0.0,12.758353318726133
ARI vs NE,Kayshon Boutte,NE,WR,8.45,0.0,7.625818011706551
ARI vs NE,Austin Hooper,NE,TE,6.04,0.0,-7.225103195706158
