Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Greg Dortch (37127938),Greg Dortch,37127938,WR/FLEX,3200,ARI@LAR 12/28/2024 08:10PM ET,ARI,4.34
DST,Rams  (37128075),Rams ,37128075,DST,3200,ARI@LAR 12/28/2024 08:10PM ET,LAR,6.87
TE,Austin Hooper (37128016),Austin Hooper,37128016,TE/FLEX,3200,LAC@NE 12/28/2024 01:00PM ET,NE,6.53
TE,Mike Gesicki (37128018),Mike Gesicki,37128018,TE/FLEX,3100,DEN@CIN 12/28/2024 04:30PM ET,CIN,7.47
WR,Derius Davis (37127940),Derius Davis,37127940,WR/FLEX,3100,LAC@NE 12/28/2024 01:00PM ET,LAC,2.16
WR,Lil'Jordan Humphrey (37127988),Lil'Jordan Humphrey,37127988,WR/FLEX,3000,DEN@CIN 12/28/2024 04:30PM ET,DEN,4.05
WR,A.T. Perry (37127990),A.T. Perry,37127990,WR/FLEX,3000,DEN@CIN 12/28/2024 04:30PM ET,DEN,0
WR,David Sills V (37127992),David Sills V,37127992,WR/FLEX,3000,DEN@CIN 12/28/2024 04:30PM ET,DEN,0
WR,Michael Bandy (37127994),Michael Bandy,37127994,WR/FLEX,3000,DEN@CIN 12/28/2024 04:30PM ET,DEN,0
WR,Jermaine Burton (37127996),Jermaine Burton,37127996,WR/FLEX,3000,DEN@CIN 12/28/2024 04:30PM ET,CIN,1.13
WR,Charlie Jones (37127998),Charlie Jones,37127998,WR/FLEX,3000,DEN@CIN 12/28/2024 04:30PM ET,CIN,0.81
WR,Isaiah Williams (37128000),Isaiah Williams,37128000,WR/FLEX,3000,DEN@CIN 12/28/2024 04:30PM ET,CIN,0.43
WR,Kendric Pryor (37128002),Kendric Pryor,37128002,WR/FLEX,3000,DEN@CIN 12/28/2024 04:30PM ET,CIN,1.9
WR,Cole Burgess (37128004),Cole Burgess,37128004,WR/FLEX,3000,DEN@CIN 12/28/2024 04:30PM ET,CIN,0
DST,Bengals  (37128076),Bengals ,37128076,DST,3000,DEN@CIN 12/28/2024 04:30PM ET,CIN,6.2
WR,Zay Jones (37127968),Zay Jones,37127968,WR/FLEX,3000,ARI@LAR 12/28/2024 08:10PM ET,ARI,0.54
WR,Zach Pascal (37127970),Zach Pascal,37127970,WR/FLEX,3000,ARI@LAR 12/28/2024 08:10PM ET,ARI,0
WR,Xavier Weaver (37127972),Xavier Weaver,37127972,WR/FLEX,3000,ARI@LAR 12/28/2024 08:10PM ET,ARI,0
WR,Andre Baccellia (37127974),Andre Baccellia,37127974,WR/FLEX,3000,ARI@LAR 12/28/2024 08:10PM ET,ARI,0
WR,Tejhaun Palmer (37127976),Tejhaun Palmer,37127976,WR/FLEX,3000,ARI@LAR 12/28/2024 08:10PM ET,ARI,0
WR,Jordan Whittington (37127978),Jordan Whittington,37127978,WR/FLEX,3000,ARI@LAR 12/28/2024 08:10PM ET,LAR,2.93
WR,Tyler Johnson (37127980),Tyler Johnson,37127980,WR/FLEX,3000,ARI@LAR 12/28/2024 08:10PM ET,LAR,3.4
WR,Xavier Smith (37127982),Xavier Smith,37127982,WR/FLEX,3000,ARI@LAR 12/28/2024 08:10PM ET,LAR,0.43
WR,Quintez Cephus (37127984),Quintez Cephus,37127984,WR/FLEX,3000,ARI@LAR 12/28/2024 08:10PM ET,LAR,0
WR,Drake Stoops (37127986),Drake Stoops,37127986,WR/FLEX,3000,ARI@LAR 12/28/2024 08:10PM ET,LAR,0
WR,DJ Chark (37127942),DJ Chark,37127942,WR/FLEX,3000,LAC@NE 12/28/2024 01:00PM ET,LAC,1.1
WR,Simi Fehoko (37127944),Simi Fehoko,37127944,WR/FLEX,3000,LAC@NE 12/28/2024 01:00PM ET,LAC,2.08
WR,Brenden Rice (37127946),Brenden Rice,37127946,WR/FLEX,3000,LAC@NE 12/28/2024 01:00PM ET,LAC,0
