Lock,ID,Name,Pos,Team,Opp,Salary,STDV,Value,Vegas,Floor,Ceiling,RnkGPP,RnkCash,Boom,Bust,2X,2.5X,3X,3.5X,4X,4.5X,5X,5.5X,Optimal,Lev,Hero Own,Hero Proj.,User Own,User Proj.,Agg Proj.,Rdm %,Min. Exp.,Max. Exp.,Build Exp.
No,36948954,Elijah Higgins,TE,ARI,vs NE,2500,3.44,1.03,26.25,0.28,4.92,21,25,1,94.27,23.06,13.52,7.46,3.64,1.72,0.74,0.28,0.1,0.64,0.37,0.27,2.57,0.27,2.57,2.57,0,0,100,
No,36948968,Josh Whyle,TE,TEN,vs CIN,2500,2.15,0.77,20.5,0.47,3.37,89,47,1,99.77,7.24,2.26,0.5,0.08,0,0,0,0,0.01,-0.17,0.18,1.92,0.18,1.92,1.92,0,0,100,
No,36948970,Nick Vannett,TE,TEN,vs CIN,2500,2.27,0.78,20.5,0.39,3.47,86,44,1,99.61,8.42,2.58,0.64,0.14,0.04,0.04,0,0,0.01,-0.26,0.27,1.95,0.27,1.95,1.95,0,0,100,
No,36948976,Drew Sample,TE,CIN,@ TEN,2500,3.61,1.09,26,0.34,5.21,64,31,1,92.87,26.32,16.52,9.3,4.84,2.02,0.82,0.28,0.12,0.01,-0.43,0.44,2.71,0.44,2.71,2.71,0,0,100,
No,36948998,John Bates,TE,WAS,@ NO,2500,2.5,0.63,25.5,0,3.31,63,52,1,99.49,9.12,3.46,0.9,0.2,0.02,0,0,0,0.01,-0.32,0.33,1.58,0.33,1.58,1.58,0,0,100,
No,36949016,Brenton Strange,TE,JAX,vs NYJ,2500,5.07,3.07,19,4.41,11.06,17,5,5,52.63,71.38,62.38,52.68,41.66,32.12,23.96,17.12,11.3,7.16,-1.27,8.43,7.67,8.43,7.67,7.67,0,0,100,
No,36949018,Luke Farrell,TE,JAX,vs NYJ,2500,3.14,1.05,19,0.44,4.8,66,43,1,95.63,22.52,12.88,6.04,2.36,0.86,0.3,0.1,0.02,0.01,-0.22,0.23,2.64,0.23,2.64,2.64,0,0,100,
No,36949026,Jeremy Ruckert,TE,NYJ,@ JAX,2500,2.23,0.83,22,0.55,3.61,93,35,1,99.61,8.78,2.62,0.6,0.14,0.02,0,0,0,0.01,-1.11,1.12,2.07,1.12,2.07,2.07,0,0,100,
No,36949034,Julian Hill,TE,MIA,@ HOU,2500,2.6,0.86,21.25,0.39,3.91,85,34,1,98.78,14.06,5.98,2.04,0.56,0.14,0,0,0,0.01,-0.68,0.69,2.16,0.69,2.16,2.16,0,0,100,
No,36949044,Cade Stover,TE,HOU,vs MIA,2500,3.58,1.33,24.25,0.91,5.68,76,32,1,90.42,33,20.44,12.12,6.8,3.58,1.9,0.8,0.26,0.01,-0.39,0.4,3.33,0.4,3.33,3.33,0,0,100,
No,36949066,Blake Whiteheart,TE,CLE,vs KC,2500,2.25,0.88,18.75,0.71,3.71,91,41,1,99.51,10.76,3.56,1.02,0.18,0.02,0,0,0,0.01,-0.35,0.36,2.2,0.36,2.2,2.20,0,0,100,
No,36949101,Dolphins ,DST,MIA,@ HOU,2500,4.3,2.15,21.25,2.36,8.24,19,14,2.24,55.84,54.14,41.94,30.74,21.16,14.04,8.24,4.74,2.34,0.64,-3.16,3.8,5.37,3.8,5.37,5.37,0,0,100,
No,36949102,Colts ,DST,IND,@ DEN,2500,5.21,2.15,19.5,1.84,8.99,10,11,4.9,54.68,52.9,43.38,34.74,26.44,19.54,13.18,8.76,5.54,4.48,1.98,2.5,5.39,2.5,5.39,5.39,0,0,100,
No,36949103,Patriots ,DST,NE,@ ARI,2400,4.64,1.78,20.25,1.24,7.32,24,24,2.04,62.6,45.12,35.7,26.94,18.5,12.6,7.96,4.6,2.62,0.01,-1.87,1.88,4.27,1.88,4.27,4.27,0,0,100,
No,36949104,Saints ,DST,NO,vs WAS,2400,4.45,2.04,18,1.94,7.81,20,16,2.3,57.76,50.7,40.34,30.04,21.62,14.3,8.94,5.54,2.78,0.64,-2.72,3.36,4.89,3.36,4.89,4.89,0,0,100,
No,36949105,Titans ,DST,TEN,vs CIN,2300,4.85,2.26,20.5,1.8,8.38,13,12,4.29,52.7,53.52,44.1,34.62,26.52,19.98,14.36,9.52,5.86,3.2,0,3.2,5.19,3.2,5.19,5.19,0,0,100,
No,36949106,Browns ,DST,CLE,vs KC,2200,4.48,2.69,18.75,2.89,8.92,4,5,5.03,44.35,63.6,54.32,44.7,35.32,26.44,18.9,12.82,8.18,5.76,0.35,5.41,5.92,5.41,5.92,5.92,0,0,100,
No,36949107,Giants ,DST,NYG,vs BAL,2100,4.93,1.57,13,0,6.6,23,22,2.4,63.84,42.88,34.62,27.02,20.26,14.48,9.84,6.84,4.66,1.92,-0.56,2.48,3.3,2.48,3.3,3.30,0,0,100,
