Lock,ID,Name,Pos,Team,Opp,Salary,STDV,Value,Vegas,Floor,Ceiling,RnkGPP,RnkCash,Boom,Bust,2X,2.5X,3X,3.5X,4X,4.5X,5X,5.5X,Optimal,Lev,Hero Own,Hero Proj.,User Own,User Proj.,Agg Proj.,Rdm %,Min. Exp.,Max. Exp.,Build Exp.
No,36948144,Javonte Williams,RB,DEN,vs IND,5200,7.19,2.02,24,5.64,15.15,15,22,4.77,71.06,50.74,36.64,23.64,14.22,7.92,3.86,1.7,0.62,4.32,2.42,1.9,10.49,1.9,10.49,10.49,0,0,100,
No,36948146,Khalil Herbert,RB,CIN,@ TEN,5200,4.75,0.48,26,0,5.73,40,51,1,99.43,4.76,1.34,0.26,0.06,0,0,0,0,0.01,-0.11,0.12,2.48,0.12,2.48,2.48,0,0,100,
No,36948406,Michael Pittman Jr.,WR,IND,@ DEN,5200,6.18,2.04,19.5,6.41,14.72,45,28,2.71,73.58,51.16,34.44,20.74,10.9,4.8,1.8,0.62,0.14,3.84,-0.08,3.92,10.58,3.92,10.58,10.58,0,0,100,
No,36948824,David Njoku,TE,CLE,vs KC,5200,7.9,1.89,18.75,4.64,15.21,11,18,5.51,72.09,47.44,34.92,23.66,14.96,8.6,4.48,2.04,0.72,5.12,3.28,1.84,9.85,1.84,9.85,9.85,0,0,100,
No,36948026,Jake Haener,QB,NO,vs WAS,5100,7.17,2.64,18,8.82,18.42,24,23,2.7,60.04,67.8,54.34,41.26,28.16,17.68,10.04,5.38,2.32,0.48,-1.59,2.07,13.48,2.07,13.48,13.48,0,0,100,
No,36948148,Tank Bigsby,RB,JAX,vs NYJ,5100,7.29,2.11,19,5.62,15.45,17,20,5.79,68.28,53.82,39.26,27.22,17.08,9.62,5.08,2.24,0.86,2.56,0.03,2.53,10.77,2.53,10.77,10.77,0,0,100,
No,36948150,Ezekiel Elliott,RB,DAL,@ CAR,5100,4.91,0.54,19.75,0,6.22,37,43,1,99.02,6.44,2.24,0.5,0.08,0,0,0,0,0.01,-0.2,0.21,2.77,0.21,2.77,2.77,0,0,100,
No,36948408,Josh Downs,WR,IND,@ DEN,5100,7.33,2.26,19.5,6.39,16.42,6,21,7.19,64.47,56.66,42.74,30.7,19.06,11.32,6.08,3,1.28,8.96,2.47,6.49,11.52,6.49,11.52,11.52,0,0,100,
No,36948410,Xavier Worthy,WR,KC,@ CLE,5100,6.35,1.78,22.75,4.7,13.37,112,66,1.91,79.22,43.14,28.54,16.42,8.18,3.58,1.12,0.36,0.08,0.01,-1.63,1.64,9.07,1.64,9.07,9.07,0,0,100,
No,36948027,Will Levis,QB,TEN,vs CIN,5000,8.18,3.29,20.5,10.72,22.07,1,2,9.9,42.9,79.1,69.12,57.22,45.54,33.68,23.5,15.06,9.34,8.34,2.59,5.75,16.46,5.75,16.46,16.46,0,0,100,
No,36948152,Isaiah Davis,RB,NYJ,@ JAX,5000,5.3,1.12,22,2.21,9.17,78,41,1,94.33,19.52,9.68,3.88,1.32,0.38,0.04,0.02,0,0.01,-0.57,0.58,5.61,0.58,5.61,5.61,0,0,100,
No,36948154,Kareem Hunt,RB,KC,@ CLE,5000,6.29,1.3,22.75,2.14,10.66,27,32,1,88.33,30.28,17.66,8.9,3.82,1.42,0.46,0.12,0,0.64,0.24,0.4,6.51,0.4,6.51,6.51,0,0,100,
No,36948412,Elijah Moore,WR,CLE,vs KC,5000,6.7,2.26,18.75,6.9,15.68,10,22,5.54,65.54,58.04,43.5,29.86,17.94,9.94,5.02,2.16,0.8,7.04,2.2,4.84,11.32,4.84,11.32,11.32,0,0,100,
No,36948414,Quentin Johnston,WR,LAC,vs TB,5000,6.39,1.99,23.75,5.44,14.09,58,42,2.96,73.77,49.38,34.24,21.3,11.76,5.84,2.48,1.16,0.38,1.92,-0.47,2.39,9.93,2.39,9.93,9.93,0,0,100,
No,36948029,Mac Jones,QB,JAX,vs NYJ,4900,7.15,2.9,19,9.27,19,13,16,4.05,52.66,73.76,61,48.04,35.1,23.34,13.84,7.44,3.7,2.56,0.32,2.24,14.22,2.24,14.22,14.22,0,0,100,
No,36948156,Raheem Mostert,RB,MIA,@ HOU,4900,6.29,0.87,21.25,0,8.53,28,38,1,93.46,17.94,9.92,4.8,2.38,0.9,0.3,0.14,0.04,0.64,0.46,0.18,4.25,0.18,4.25,4.25,0,0,100,
No,36948158,Jerome Ford,RB,CLE,vs KC,4900,6.33,1.85,18.75,4.95,13.43,66,34,2.23,77.13,44.44,30.16,17.9,9.7,4.94,1.82,0.78,0.22,0.01,-2.07,2.08,9.06,2.08,9.06,9.06,0,0,100,
No,36948160,Antonio Gibson,RB,NE,@ ARI,4900,5.32,0.97,20.25,1.06,8.36,62,49,1,95.44,16.7,7.82,2.78,0.78,0.2,0.02,0,0,0.01,-0.13,0.14,4.77,0.14,4.77,4.77,0,0,100,
No,36948418,Nick Westbrook-Ikhine,WR,TEN,vs CIN,4900,7.07,1.84,20.5,4.34,13.9,20,40,3.59,74.84,47.94,34.6,22.84,13.88,7.6,3.36,1.38,0.52,6.34,3.58,2.76,9.03,2.76,9.03,9.03,0,0,100,
No,36948826,Dalton Kincaid,TE,BUF,@ DET,4900,6.4,2.01,26,5.63,14.25,14,17,3.14,72.94,51.72,36.44,22.08,12.1,5.46,2.28,0.94,0.36,1.92,0.42,1.5,9.85,1.5,9.85,9.85,0,0,100,
No,36948162,Justice Hill,RB,BAL,@ NYG,4800,5.47,1.56,29.5,3.87,11.14,31,30,1,86.55,35.26,20.9,10.88,4.46,1.76,0.66,0.24,0.04,0.64,-0.06,0.7,7.48,0.7,7.48,7.48,0,0,100,
No,36948166,Kimani Vidal,RB,LAC,vs TB,4800,5.03,1.59,23.75,4.39,11.17,74,37,1,87.83,34.3,18.5,8.36,3.16,0.86,0.16,0.02,0,0.01,-0.63,0.64,7.65,0.64,7.65,7.65,0,0,100,
No,36948420,Keon Coleman,WR,BUF,@ DET,4800,5.9,1.64,26,3.74,11.75,46,56,1.05,82.98,38.14,24.04,13.56,6.5,2.6,1.1,0.24,0.06,1.28,0.17,1.11,7.89,1.11,7.89,7.89,0,0,100,
No,36948422,Alec Pierce,WR,IND,@ DEN,4800,5.67,1.19,19.5,2.06,9.51,67,60,1,91.56,25.72,13.18,6,2.22,0.78,0.22,0.02,0.02,0.64,-0.12,0.76,5.71,0.76,5.71,5.71,0,0,100,
No,36948168,Jaleel McLaughlin,RB,DEN,vs IND,4700,5.61,1.64,24,3.69,11.57,69,35,1,84.05,37.3,22.92,12.62,5.86,2.34,0.82,0.24,0.02,0.01,-1.91,1.92,7.69,1.92,7.69,7.69,0,0,100,
No,36948170,Ray Davis,RB,BUF,@ DET,4700,6.07,0.91,26,0.21,8.42,71,39,1,93.15,20.56,11.2,5.18,2.44,0.96,0.36,0.1,0.04,0.01,-0.84,0.85,4.26,0.85,4.26,4.26,0,0,100,
No,36948172,Devin Singletary,RB,NYG,vs BAL,4700,5.05,0.66,13,0,6.61,54,52,1,97.81,10.62,4.5,1.64,0.5,0.06,0,0,0,0.01,-0.2,0.21,3.11,0.21,3.11,3.11,0,0,100,
No,36948424,Brandin Cooks,WR,DAL,@ CAR,4700,6.15,1.33,19.75,2.21,10.43,49,59,1,87.26,29.88,18.2,10.2,5.18,2.42,0.74,0.3,0.02,0.64,0.11,0.53,6.27,0.53,6.27,6.27,0,0,100,
No,36948426,Xavier Legette,WR,CAR,vs DAL,4700,6.05,2.04,22.75,5.42,13.74,21,32,2.68,72.84,50.96,36.48,23.14,12.54,6.22,2.7,0.96,0.28,3.84,0.23,3.61,9.6,3.61,9.6,9.60,0,0,100,
No,36948174,Trey Benson,RB,ARI,vs NE,4600,4.4,1.05,26.25,1.85,7.79,75,44,1,96.87,15.36,6.08,2.06,0.46,0.14,0.02,0,0,0.01,-0.25,0.26,4.85,0.26,4.85,4.85,0,0,100,
No,36948176,Kenneth Gainwell,RB,PHI,vs PIT,4600,4.53,0.79,24.25,0.63,6.75,77,47,1,98.1,11.16,3.96,1.12,0.24,0.06,0.02,0,0,0.01,-0.24,0.25,3.64,0.25,3.64,3.64,0,0,100,
No,36948428,Wan'Dale Robinson,WR,NYG,vs BAL,4600,5.97,1.92,13,4.74,12.82,66,55,2.05,75.89,48.24,33.52,20.8,11.34,5.8,2.48,0.98,0.2,0.64,-0.37,1.01,8.85,1.01,8.85,8.85,0,0,100,
No,36948432,Joshua Palmer,WR,LAC,vs TB,4600,5.45,1.92,23.75,5.02,12.55,60,49,1.24,78.1,47.28,31.32,18.06,9.44,4.16,1.44,0.52,0.16,1.28,-0.16,1.44,8.81,1.44,8.81,8.81,0,0,100,
No,36948182,Audric Estime,RB,DEN,vs IND,4500,3.51,0.75,24,1.01,5.67,73,58,1,99.63,5.06,1.28,0.38,0.02,0,0,0,0,0.01,-0.1,0.11,3.38,0.11,3.38,3.38,0,0,100,
No,36948184,Kendre Miller,RB,NO,vs WAS,4500,5.31,1.6,18,3.6,10.69,23,29,1,85.41,37.38,22.8,12.04,5.56,2.14,0.68,0.26,0.08,1.28,0.91,0.37,7.2,0.37,7.2,7.20,0,0,100,
No,36948430,Marquez Valdes-Scantling,WR,NO,vs WAS,4500,6.38,2.04,18,4.86,13.44,57,37,3.42,71.53,51.78,38.02,25.62,16.04,8.6,4.14,2.18,0.76,1.92,-1.34,3.26,9.17,3.26,9.17,9.17,0,0,100,
No,36948434,DeMario Douglas,WR,NE,@ ARI,4500,5.8,2.28,20.25,6.23,14.12,12,25,3.42,67.07,58.94,43.96,28.9,16.78,8.66,4.16,1.84,0.74,3.84,0.68,3.16,10.24,3.16,10.24,10.24,0,0,100,
No,36948830,Cade Otton,TE,TB,@ LAC,4500,6.45,2.25,21.25,5.56,14.38,10,13,4.91,66.05,57.8,44.16,31.32,20.34,12.12,6.2,2.6,1.2,3.2,0.63,2.57,10.13,2.57,10.13,10.13,0,0,100,
No,36948043,Tommy DeVito,QB,NYG,vs BAL,4400,6.6,2.9,13,8.25,17.33,20,20,2.99,52.62,72.22,59.58,45.98,33.46,22.32,13.88,7.92,4.02,1.28,-0.38,1.66,12.77,1.66,12.77,12.77,0,0,100,
No,36948186,Ty Johnson,RB,BUF,@ DET,4400,4.97,0.79,26,0.12,6.78,29,33,1,96.6,14.24,6.54,2.38,0.72,0.28,0.04,0,0,0.64,0.21,0.43,3.48,0.43,3.48,3.48,0,0,100,
No,36948188,Jaylen Wright,RB,MIA,@ HOU,4400,4.03,0.86,21.25,1.12,6.47,80,46,1,98.51,10.54,3.72,0.84,0.18,0.02,0,0,0,0.01,-0.29,0.3,3.79,0.3,3.79,3.79,0,0,100,
No,36948436,Rashod Bateman,WR,BAL,@ NYG,4400,6.05,1.7,29.5,3.49,11.59,26,47,1.54,79.91,40.68,27.62,17.16,8.96,4.12,1.84,0.78,0.26,4.1,3.01,1.09,7.49,1.09,7.49,7.49,0,0,100,
No,36948438,Michael Wilson,WR,ARI,vs NE,4400,6.17,1.97,26.25,4.58,12.69,32,41,2.69,73.6,48.52,34.58,22.58,12.8,6.82,3.32,1.46,0.66,2.56,0.45,2.11,8.67,2.11,8.67,8.67,0,0,100,
No,36948832,Sam LaPorta,TE,DET,vs BUF,4400,7.31,2.5,28.5,6.13,15.91,6,8,9.52,58.52,61.54,50,37.88,26.62,17.52,11.14,6.6,3.4,8.96,3.15,5.81,10.99,5.81,10.99,10.99,0,0,100,
No,36948194,Sean Tucker,RB,TB,@ LAC,4300,5.65,1.34,21.25,1.93,9.45,72,40,1,87.71,31.08,19.28,10.28,5.3,2.4,0.82,0.26,0.08,0.01,-0.41,0.42,5.77,0.42,5.77,5.77,0,0,100,
No,36948196,Tyjae Spears,RB,TEN,vs CIN,4300,6.01,1.76,20.5,3.41,11.7,19,26,1.7,78.49,43.36,30.58,19.5,10.76,5.74,2.12,0.88,0.36,1.92,1.13,0.79,7.58,0.79,7.58,7.58,0,0,100,
No,36948440,Tim Patrick,WR,DET,vs BUF,4300,5.6,1.75,28.5,3.72,11.32,37,52,1.12,80.33,42.8,28.42,16.92,8.98,4.48,1.8,0.6,0.22,2.56,1.29,1.27,7.55,1.27,7.55,7.55,0,0,100,
No,36948442,Allen Lazard,WR,NYJ,@ JAX,4300,5.7,1.33,22,1.91,9.63,48,58,1,87.69,31.9,19.6,10.78,5.6,2.3,0.8,0.32,0.04,1.28,0.51,0.77,5.71,0.77,5.71,5.71,0,0,100,
