QB,RB,RB,WR,WR,WR,TE,FLEX,DST,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Team Stack,Runback,Stack Positions
Bo Nix (37127813),Kyren Williams (37127832),Javonte Williams (37127840),Courtland Sutton (37127910),Marvin Harrison Jr. (37127912),Andrei Iosivas (37127928),Trey McBride (37128006),J.K. Dobbins (37127836),Chargers (37128074),49800,125.99,3.3918413883700387e-06,256.57,QB +2 | 1,1,Stack: RB, WR; Runback: WR
Drake Maye (37127816),Chase Brown (37127830),Antonio Gibson (37127844),Ja'Marr Chase (37127900),Ladd McConkey (37127906),Joshua Palmer (37127916),Austin Hooper (37128016),Trey McBride (37128006),Patriots (37128079),49800,126.57,4.4350230280450115e-07,232.88,QB +3 | 2,2,Stack: RB, TE, DST; Runback: WR, WR
Drake Maye (37127816),Chase Brown (37127830),Kyren Williams (37127832),Ladd McConkey (37127906),Marvin Harrison Jr. (37127912),Kendrick Bourne (37127936),Austin Hooper (37128016),Puka Nacua (37127902),Cardinals (37128078),49800,127.84,9.098789834151138e-07,266.79,QB +2 | 1,1,Stack: WR, TE; Runback: WR
Matthew Stafford (37127817),Kyren Williams (37127832),J.K. Dobbins (37127836),Puka Nacua (37127902),Tee Higgins (37127904),Marvin Harrison Jr. (37127912),Hunter Henry (37128008),Will Dissly (37128010),Bengals (37128076),50000,127.71,3.983483875244561e-06,262.65,QB +2 | 1,1,Stack: RB, WR; Runback: WR
Bo Nix (37127813),Kyren Williams (37127832),J.K. Dobbins (37127836),Tee Higgins (37127904),Courtland Sutton (37127910),Lil'Jordan Humphrey (37127988),Trey McBride (37128006),Hunter Henry (37128008),Chargers (37128074),49500,127.61,1.5772909513575792e-06,265.05,QB +2 | 1,1,Stack: WR, WR; Runback: WR
Justin Herbert (37127815),Kyren Williams (37127832),Antonio Gibson (37127844),Puka Nacua (37127902),Ladd McConkey (37127906),Cooper Kupp (37127908),Will Dissly (37128010),Mike Gesicki (37128018),Chargers (37128074),49900,126.07,7.555403991401916e-07,228.55,QB +3 | 1,1,Stack: WR, TE, DST; Runback: RB
Bo Nix (37127813),J.K. Dobbins (37127836),Javonte Williams (37127840),Ja'Marr Chase (37127900),Puka Nacua (37127902),Courtland Sutton (37127910),Mike Gesicki (37128018),Hunter Henry (37128008),Patriots (37128079),49800,127.24,3.066869248260406e-06,243.69,QB +2 | 2,2,Stack: RB, WR; Runback: WR, TE
Bo Nix (37127813),Chase Brown (37127830),Kyren Williams (37127832),Ja'Marr Chase (37127900),Marvin Mims Jr. (37127926),Troy Franklin (37127934),Will Dissly (37128010),Tee Higgins (37127904),Patriots (37128079),50000,127.74,8.841955407083823e-07,263.93,QB +2 | 3,3,Stack: WR, WR; Runback: RB, WR, FLEX
Joe Burrow (37127812),Chase Brown (37127830),Antonio Gibson (37127844),Ladd McConkey (37127906),Courtland Sutton (37127910),Andrei Iosivas (37127928),Will Dissly (37128010),Trey McBride (37128006),Chargers (37128074),50000,127.73,9.647270660911591e-07,243.13,QB +2 | 1,1,Stack: RB, WR; Runback: WR
Bo Nix (37127813),Chase Brown (37127830),Kyren Williams (37127832),Ja'Marr Chase (37127900),Marvin Mims Jr. (37127926),Troy Franklin (37127934),Will Dissly (37128010),Cooper Kupp (37127908),Broncos (37128077),50000,126.59,7.678314541235846e-07,258.82,QB +3 | 2,2,Stack: WR, WR, DST; Runback: RB, WR
Matthew Stafford (37127817),Chase Brown (37127830),James Conner (37127834),Puka Nacua (37127902),Courtland Sutton (37127910),Marvin Harrison Jr. (37127912),Tyler Higbee (37128014),Mike Gesicki (37128018),Chargers (37128074),50000,126.02,1.5672194826678338e-06,260.06,QB +2 | 2,2,Stack: WR, TE; Runback: RB, WR
Joe Burrow (37127812),Kyren Williams (37127832),Antonio Gibson (37127844),Ja'Marr Chase (37127900),Courtland Sutton (37127910),Michael Wilson (37127920),Drew Sample (37128062),Trey McBride (37128006),Patriots (37128079),49900,126.08,4.019266860237464e-07,234.17,QB +2 | 1,1,Stack: WR, TE; Runback: WR
Drake Maye (37127816),Chase Brown (37127830),Kyren Williams (37127832),Courtland Sutton (37127910),DeMario Douglas (37127918),Kendrick Bourne (37127936),Will Dissly (37128010),Ja'Marr Chase (37127900),Bengals (37128076),49900,126.86,4.4121790117675485e-07,254.68,QB +2 | 1,1,Stack: WR, WR; Runback: TE
Kyler Murray (37127814),Chase Brown (37127830),Kyren Williams (37127832),Ladd McConkey (37127906),Courtland Sutton (37127910),Michael Wilson (37127920),Trey McBride (37128006),Elijah Higgins (37128042),Bengals (37128076),49900,126.75,6.191238891291315e-07,267.36,QB +3 | 1,1,Stack: WR, TE, FLEX; Runback: RB
Matthew Stafford (37127817),Kyren Williams (37127832),Antonio Gibson (37127844),Ja'Marr Chase (37127900),Tee Higgins (37127904),Tutu Atwell (37127932),Trey McBride (37128006),Mike Gesicki (37128018),Chargers (37128074),49900,125.79,4.0633486054798396e-07,239.87,QB +2 | 1,1,Stack: RB, WR; Runback: TE
Bo Nix (37127813),Chase Brown (37127830),Javonte Williams (37127840),Ja'Marr Chase (37127900),Courtland Sutton (37127910),Marvin Harrison Jr. (37127912),Will Dissly (37128010),Hunter Henry (37128008),Broncos (37128077),49800,127.99,3.500060736335149e-06,266.68,QB +3 | 2,2,Stack: RB, WR, DST; Runback: RB, WR
Matthew Stafford (37127817),Kyren Williams (37127832),Antonio Gibson (37127844),Puka Nacua (37127902),Cooper Kupp (37127908),Marvin Harrison Jr. (37127912),Trey McBride (37128006),Mike Gesicki (37128018),Patriots (37128079),49800,126.32,1.6995186747688094e-06,242.35,QB +3 | 2,2,Stack: RB, WR, WR; Runback: WR, TE
Drake Maye (37127816),Kyren Williams (37127832),Antonio Gibson (37127844),Ja'Marr Chase (37127900),Tee Higgins (37127904),Kendrick Bourne (37127936),Will Dissly (37128010),Trey McBride (37128006),Broncos (37128077),49800,126.35,3.023126014330103e-07,226.0,QB +2 | 1,1,Stack: RB, WR; Runback: TE
Joe Burrow (37127812),Chase Brown (37127830),Kyren Williams (37127832),Puka Nacua (37127902),Cooper Kupp (37127908),Andrei Iosivas (37127928),Adam Trautman (37128020),Austin Hooper (37128016),Chargers (37128074),50000,126.26,5.425181022023483e-07,265.92,QB +2 | 1,1,Stack: RB, WR; Runback: TE
Bo Nix (37127813),Kyren Williams (37127832),Jaleel McLaughlin (37127852),Ja'Marr Chase (37127900),Puka Nacua (37127902),Lil'Jordan Humphrey (37127988),Trey McBride (37128006),Mike Gesicki (37128018),Cardinals (37128078),49700,125.97,1.2837409344545587e-07,231.12,QB +2 | 2,2,Stack: RB, WR; Runback: WR, FLEX
Kyler Murray (37127814),J.K. Dobbins (37127836),Antonio Gibson (37127844),Ja'Marr Chase (37127900),Cooper Kupp (37127908),Marvin Harrison Jr. (37127912),Trey McBride (37128006),Austin Hooper (37128016),Chargers (37128074),49900,126.23,1.5385883415896687e-06,231.26999999999998,QB +2 | 1,1,Stack: WR, TE; Runback: WR
Kyler Murray (37127814),Kyren Williams (37127832),Antonio Gibson (37127844),Ja'Marr Chase (37127900),Marvin Harrison Jr. (37127912),Greg Dortch (37127938),Mike Gesicki (37128018),Puka Nacua (37127902),Chargers (37128074),50000,127.5,3.475187257375082e-07,251.54,QB +2 | 2,2,Stack: WR, WR; Runback: RB, FLEX
Bo Nix (37127813),Chase Brown (37127830),Kyren Williams (37127832),Ladd McConkey (37127906),Courtland Sutton (37127910),Devaughn Vele (37127922),Colby Parkinson (37128022),Antonio Gibson (37127844),Chargers (37128074),49600,126.51,1.8196487236980383e-07,251.93,QB +2 | 1,1,Stack: WR, WR; Runback: RB
Joe Burrow (37127812),Kyren Williams (37127832),Javonte Williams (37127840),Ja'Marr Chase (37127900),Ladd McConkey (37127906),Kayshon Boutte (37127924),Mike Gesicki (37128018),Hunter Henry (37128008),Chargers (37128074),49800,127.54,6.487764637023828e-06,265.44,QB +2 | 1,1,Stack: WR, TE; Runback: RB
Matthew Stafford (37127817),Kyren Williams (37127832),Antonio Gibson (37127844),Puka Nacua (37127902),Ladd McConkey (37127906),Devaughn Vele (37127922),Trey McBride (37128006),Hunter Henry (37128008),Patriots (37128079),49900,127.15,8.999582735641303e-07,238.01000000000002,QB +2 | 1,1,Stack: RB, WR; Runback: TE
Joe Burrow (37127812),Chase Brown (37127830),Kyren Williams (37127832),Puka Nacua (37127902),Ladd McConkey (37127906),Troy Franklin (37127934),Mike Gesicki (37128018),Kendrick Bourne (37127936),Bengals (37128076),49700,127.09,8.603647735334509e-07,263.93,QB +3 | 1,1,Stack: RB, TE, DST; Runback: WR
Matthew Stafford (37127817),Chase Brown (37127830),Kyren Williams (37127832),Cooper Kupp (37127908),Courtland Sutton (37127910),Andrei Iosivas (37127928),Trey McBride (37128006),Mike Gesicki (37128018),Bengals (37128076),49700,126.58,2.5925046097954603e-06,267.87,QB +2 | 1,1,Stack: RB, WR; Runback: TE
Joe Burrow (37127812),Chase Brown (37127830),J.K. Dobbins (37127836),Ja'Marr Chase (37127900),Courtland Sutton (37127910),Troy Franklin (37127934),Trey McBride (37128006),Cam Grandy (37128066),Cardinals (37128078),50000,126.58,4.9875491092950314e-08,252.25,QB +3 | 2,2,Stack: RB, WR, FLEX; Runback: WR, WR
